Issuer Name,Theme,Issue Date,Amount Issued,Currency,Amount (USD),Country,Sector,Narrative
Qingdao Jiaozhou City Development Investment Co.  Ltd.,SLB,2024-03-27,1000000000,CNY,137773333,China,Real Estate,This is a Sustainability-linked Bond issuance from Qingdao Jiaozhou City Development Investment Co.  Ltd..
CapitaMalls Property & Investment Limited,SLB,2024-03-19,1000000000,CNY,137773333,China,Financials,This is a Sustainability-linked Bond issuance from CapitaMalls Property & Investment Limited.
Enaex SA,SLB,2023-09-07,2500000,CLF,,Chile,Materials,This is a Sustainability-linked Bond issuance from Enaex SA.
Republic of Iceland,Green,2024-03-21,750000000,EUR,814646250,Iceland,Sovereign,Climate Bonds aligned Iceland sovereign issuance - Republic of Iceland.
Finance Department Government of Sharjah,Sustainability,2024-03-06,750000000,USD,750000000,UAE,Sovereign,Climate Bonds aligned UAE sovereign issuance - Finance Department Government of Sharjah.
Government of Romania,Green,2024-02-22,2000000000,EUR,2165042000,Romania,Sovereign,Climate Bonds aligned Romania sovereign issuance - Government of Romania.
Mexico Government (United Mexican States),Sustainability,2023-07-24,23000000000,MXN,1362329981,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Government of Hungary,Green,2020-09-18,4500000000,JPY,43119685,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Ivory Coast Government International Bond,Sustainability,2024-01-30,1100000000,USD,1100000000,Cote d'Ivoire,Sovereign,Climate Bonds aligned Cote d'Ivoire sovereign issuance - Ivory Coast Government International Bond.
Republic of Austria,Green,2023-04-27,110000000,EUR,121345510,Austria,Sovereign,Climate Bonds aligned Austria sovereign issuance - Republic of Austria.
Republic of Uzbekistan,Green,2023-10-12,4250000000000,UZS,347648262,Uzbekistan,Sovereign,Climate Bonds aligned Uzbekistan sovereign issuance - Republic of Uzbekistan.
Cyprus Government International Bond,Sustainability,2023-04-13,1000000000,EUR,1090500000,Cyprus,Sovereign,Climate Bonds aligned Cyprus sovereign issuance - Cyprus Government International Bond.
Finance Department Government of Sharjah,Sustainability,2023-02-23,1000000000,USD,1000000000,UAE,Sovereign,Climate Bonds aligned UAE sovereign issuance - Finance Department Government of Sharjah.
Government of Hungary,Green,2024-03-20,22710250000,HUF,63043654,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
BB Blue Financing Designated Activity Company (Barbados Blue Bond),Sustainability,2022-09-20,24419800,USD,24419800,Barbados,Sovereign,Climate Bonds aligned Barbados sovereign issuance - BB Blue Financing Designated Activity Company (Barbados Blue Bond).
BB Blue Financing Designated Activity Company (Barbados Blue Bond),Sustainability,2022-09-20,48839600,USD,48839600,Barbados,Sovereign,Climate Bonds aligned Barbados sovereign issuance - BB Blue Financing Designated Activity Company (Barbados Blue Bond).
Andorra International Bond,Sustainability,2022-02-23,500000000,EUR,567200000,Andorra,Sovereign,Climate Bonds aligned Andorra sovereign issuance - Andorra International Bond.
Latvia Government International Bond,Sustainability,2021-12-13,600000000,EUR,676680000,Latvia,Sovereign,Climate Bonds aligned Latvia sovereign issuance - Latvia Government International Bond.
Peru Government Bond,Sustainability,2021-11-02,2250000000,USD,2250000000,Peru,Sovereign,Climate Bonds aligned Peru sovereign issuance - Peru Government Bond.
Republic of Serbia,Green,2021-09-23,1000000000,EUR,1171500000,Serbia,Sovereign,Climate Bonds aligned Serbia sovereign issuance - Republic of Serbia.
Republic of Chile,Sustainability,2022-01-31,1500000000,USD,1500000000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Indonesia,Sustainability,2021-09-23,500000000,EUR,585750000,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Isle of Man Government International Bond,Sustainability,2021-09-14,400000000,GBP,554257565,Isle of Man,Sovereign,Climate Bonds aligned Isle of Man sovereign issuance - Isle of Man Government International Bond.
Republic of Korea,Green,2021-10-18,700000000,EUR,812280000,South Korea,Sovereign,Climate Bonds aligned South Korea sovereign issuance - Republic of Korea.
Republic of Chile,Social,2021-06-29,,EUR,1192680000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Sustainability,2021-04-15,1500000000,USD,1500000000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Benin Government International Bond,Sustainability,2021-07-22,588140000,EUR,692534850,Benin,Sovereign,Climate Bonds aligned Benin sovereign issuance - Benin Government International Bond.
Mexico Government (United Mexican States),Sustainability,2021-07-12,1250000000,EUR,1481500000,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Andorra International Bond,Sustainability,2021-05-06,500000000,EUR,603000000,Andorra,Sovereign,Climate Bonds aligned Andorra sovereign issuance - Andorra International Bond.
Republic of Chile,Social,2021-07-27,500000000,USD,500000000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Social,2021-01-22,1250000000,EUR,1519750000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Arab Republic of Egypt,Green,2020-10-06,750000000,USD,750000000,Egypt,Sovereign,Climate Bonds aligned Egypt sovereign issuance - Arab Republic of Egypt.
Kingdom of Sweden,Green,2020-09-09,20000000000,SEK,2272341246,Sweden,Sovereign,Climate Bonds aligned Sweden sovereign issuance - Kingdom of Sweden.
Government of Hungary,Green,2024-01-25,1500000000,EUR,1627737000,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Mexico Government (United Mexican States),Sustainability,2020-09-18,750000000,EUR,887475000,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Republic of Chile,Green,2020-01-29,693685000,EUR,763122868,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Ecuador,Social,2020-01-30,400000000,USD,400000000,Ecuador,Sovereign,Climate Bonds aligned Ecuador sovereign issuance - Ecuador.
Republic of Poland,Green,2018-02-07,1000000000,EUR,1244200000,Poland,Sovereign,Climate Bonds aligned Poland sovereign issuance - Republic of Poland.
Republic of Poland,Green,2016-12-20,750000000,EUR,779100000,Poland,Sovereign,Climate Bonds aligned Poland sovereign issuance - Republic of Poland.
The Republic of Seychelles,Green,2018-10-29,15000000,USD,15000000,Seychelles,Sovereign,Climate Bonds aligned Seychelles sovereign issuance - The Republic of Seychelles.
Republic of Chile,Green,2021-01-22,400000000,EUR,485700000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Green,2020-01-27,750000000,USD,750000000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Green,2019-06-17,1418000000,USD,1418000000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Poland,Green,2019-03-07,1500000000,EUR,1678950000,Poland,Sovereign,Climate Bonds aligned Poland sovereign issuance - Republic of Poland.
Republic of Poland,Green,2019-03-07,500000000,EUR,559650000,Poland,Sovereign,Climate Bonds aligned Poland sovereign issuance - Republic of Poland.
Philippine Government International Bond,Sustainability,2022-03-29,1000000000,USD,1000000000,Philippines,Sovereign,Climate Bonds aligned Philippines sovereign issuance - Philippine Government International Bond.
Malaysia Wakala Sukuk Bhd,Sustainability,2021-04-28,500000000,USD,500000000,Malaysia,Sovereign,Climate Bonds aligned Malaysia sovereign issuance - Malaysia Wakala Sukuk Bhd.
Malaysia Wakala Sukuk Bhd,Sustainability,2021-04-28,800000000,USD,800000000,Malaysia,Sovereign,Climate Bonds aligned Malaysia sovereign issuance - Malaysia Wakala Sukuk Bhd.
Hong Kong Special Administrative Region Government,Green,2021-11-24,1250000000,EUR,1400750000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2021-11-24,1000000000,USD,1000000000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2022-05-18,20000000000,HKD,2548219540,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2023-06-07,750000000,EUR,803031750,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2023-06-07,500000000,USD,500000000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2023-06-07,6000000000,CNY,841536000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2023-06-07,6000000000,CNY,841536000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2024-02-07,1500000000,CNY,211089000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2024-02-07,200000000,USD,200000000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2024-02-07,2000000000,HKD,255642000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
GPS Blue Financing Designated Activity Company (Ecuador Blue Bond),Sustainability,2023-05-04,656022000,USD,656022000,Ecuador,Sovereign,Climate Bonds aligned Ecuador sovereign issuance - GPS Blue Financing Designated Activity Company (Ecuador Blue Bond).
Republic of Uzbekistan International Bond,Sustainability,2021-07-02,,UZS,233568500,Uzbekistan,Sovereign,Climate Bonds aligned Uzbekistan sovereign issuance - Republic of Uzbekistan International Bond.
Mexico Government (United Mexican States),Sustainability,2024-03-12,3000000000,MXN,178295122,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Mexico Government (United Mexican States),Sustainability,2023-04-28,3570000000,MXN,197064714,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Republic of Türkiye,Green,2023-04-13,2500000000,USD,2500000000,Turkey,Sovereign,Climate Bonds aligned Turkey sovereign issuance - Republic of Türkiye.
Platinum Securities (Belize Blue Bond),Sustainability,2021-04-11,364000000,USD,364000000,Belize,Sovereign,Climate Bonds aligned Belize sovereign issuance - Platinum Securities (Belize Blue Bond).
Philippine Government International Bond,Sustainability,2023-01-17,1250000000,USD,1250000000,Philippines,Sovereign,Climate Bonds aligned Philippines sovereign issuance - Philippine Government International Bond.
Philippine Government International Bond,Sustainability,2022-10-13,750000000,USD,750000000,Philippines,Sovereign,Climate Bonds aligned Philippines sovereign issuance - Philippine Government International Bond.
Republic of Indonesia,Green,2022-06-06,1500000000,USD,1500000000,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2023-08-03,1950000000000,IDR,128560127,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2023-01-24,3950000000000,IDR,264115996,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2022-11-17,70000000000,IDR,4448964,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2022-12-07,10000000000000,IDR,640697080,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2023-11-15,1000000000,USD,1000000000,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Peru Government Bond,Social,2021-11-17,1000000000,EUR,1131600000,Peru,Sovereign,Climate Bonds aligned Peru sovereign issuance - Peru Government Bond.
Peru Government Bond,Sustainability,2021-11-02,1000000000,USD,1000000000,Peru,Sovereign,Climate Bonds aligned Peru sovereign issuance - Peru Government Bond.
Republic of Korea,Sustainability,2019-06-19,,USD,500000000,South Korea,Sovereign,Climate Bonds aligned South Korea sovereign issuance - Republic of Korea.
State of Israel,Green,2023-01-17,2000000000,USD,2000000000,Israel,Sovereign,Climate Bonds aligned Israel sovereign issuance - State of Israel.
Hong Kong Special Administrative Region Government,Green,2024-02-07,80000000,EUR,86105760,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Guatemala,Social,2020-04-24,500000000,USD,500000000,Guatemala,Sovereign,Climate Bonds aligned Guatemala sovereign issuance - Guatemala.
Republic of Colombia,Social,2023-11-14,1250000000,USD,1250000000,Colombia,Sovereign,Climate Bonds aligned Colombia sovereign issuance - Republic of Colombia.
Republic of Colombia,Social,2023-11-14,1250000000,USD,1250000000,Colombia,Sovereign,Climate Bonds aligned Colombia sovereign issuance - Republic of Colombia.
Republic of Chile,Social,2024-01-22,1700000000,USD,1700000000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Sustainability,2022-01-31,1000000000,USD,1000000000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Social,2021-12-09,,CLP,1355962529,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Social,2021-07-01,1500000000000,CLP,1917006403,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Social,2021-07-27,1000000000,USD,1000000000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Social,2021-09-14,918000000,EUR,1083056400,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Social,2021-05-07,1700000000,USD,1700000000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Social,2021-08-27,750000000,EUR,882045000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Social,2021-01-22,1500000000,USD,1500000000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Social,2021-09-06,2250000000,USD,2250000000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Green,2020-01-27,900000000,USD,900000000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Green,2019-07-02,861000000,EUR,972441834,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Green,2021-01-19,750000000,USD,750000000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Green,2020-01-29,1269017000,EUR,1396045601,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Brazilian Government International Bond,Sustainability,2023-11-20,2000000000,USD,2000000000,Brazil,Sovereign,Climate Bonds aligned Brazil sovereign issuance - Brazilian Government International Bond.
Thailand Government Bond,Sustainability,2022-09-19,35000000000,THB,945434388,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Thailand Government Bond,Sustainability,2022-12-06,30000000000,THB,856654085,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Thailand Government Bond,Sustainability,2023-01-27,20000000000,THB,608649375,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Thailand Government Bond,Sustainability,2023-03-31,20000000000,THB,586079599,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Thailand Government Bond,Sustainability,2023-05-26,20000000000,THB,577033518,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Thailand Government Bond,Sustainability,2023-07-07,20000000000,THB,567704259,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Thailand Government Bond,Sustainability,2023-09-01,20000000000,THB,583852254,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Thailand Government Bond,Sustainability,2023-10-16,20000000000,THB,551264000,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Thailand Government Bond,Sustainability,2023-11-17,15000000000,THB,423586500,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Thailand Government Bond,Sustainability,2024-02-23,25000000000,THB,694255760,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Thailand Government Bond,Sustainability,2022-05-13,10000000000,THB,452298828,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Thailand Government Bond,Sustainability,2022-01-14,20000000000,THB,601950937,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Thailand Government Bond,Sustainability,2022-03-18,20000000000,THB,600970000,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Thailand Government Bond,Sustainability,2022-05-13,15000000000,THB,433249500,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Thailand Government Bond,Sustainability,2020-08-20,20000000000,THB,636327023,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Thailand Government Bond,Sustainability,2020-11-27,20000000000,THB,659621555,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Thailand Government Bond,Sustainability,2021-01-22,15000000000,THB,499835553,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Thailand Government Bond,Sustainability,2021-03-19,20000000000,THB,648505671,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Thailand Government Bond,Sustainability,2021-04-26,15000000000,THB,477102250,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Thailand Government Bond,Sustainability,2021-07-16,12000000000,THB,366246864,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Thailand Government Bond,Sustainability,2021-09-17,15000000000,THB,451398646,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Thailand Government Bond,Sustainability,2021-10-25,20000000000,THB,603961169,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Thailand Government Bond,Sustainability,2021-11-26,10000000000,THB,297084670,Thailand,Sovereign,Climate Bonds aligned Thailand sovereign issuance - Thailand Government Bond.
Slovenia Government Bond,Sustainability,2023-01-11,1250000000,EUR,1341687500,Slovenia,Sovereign,Climate Bonds aligned Slovenia sovereign issuance - Slovenia Government Bond.
Slovenia Government Bond,Sustainability,2022-02-07,50000000,EUR,57235000,Slovenia,Sovereign,Climate Bonds aligned Slovenia sovereign issuance - Slovenia Government Bond.
Slovenia Government Bond,Sustainability,2022-07-12,89946000,EUR,90323773,Slovenia,Sovereign,Climate Bonds aligned Slovenia sovereign issuance - Slovenia Government Bond.
Slovenia Government Bond,Sustainability,2022-10-28,100000000,EUR,99510000,Slovenia,Sovereign,Climate Bonds aligned Slovenia sovereign issuance - Slovenia Government Bond.
Slovenia Government Bond,Sustainability,2021-07-01,1000000000,EUR,1188400000,Slovenia,Sovereign,Climate Bonds aligned Slovenia sovereign issuance - Slovenia Government Bond.
Singapore Government,Green,2022-08-15,2400000000,SGD,1753317787,Singapore,Sovereign,Climate Bonds aligned Singapore sovereign issuance - Singapore Government.
Singapore Government,Green,2023-09-04,2800000000,SGD,2065658000,Singapore,Sovereign,Climate Bonds aligned Singapore sovereign issuance - Singapore Government.
Peru Government Bond,Sustainability,2023-06-12,9185000000,PEN,2502453250,Peru,Sovereign,Climate Bonds aligned Peru sovereign issuance - Peru Government Bond.
Peru Government Bond,Sustainability,2023-11-13,7472678000,PEN,1960561691,Peru,Sovereign,Climate Bonds aligned Peru sovereign issuance - Peru Government Bond.
Peru Government Bond,Sustainability,2024-03-18,150000000,PEN,40211700,Peru,Sovereign,Climate Bonds aligned Peru sovereign issuance - Peru Government Bond.
New Zealand Government,Green,2022-11-22,3150000000,NZD,1939023450,New Zealand,Sovereign,Climate Bonds aligned New Zealand sovereign issuance - New Zealand Government.
New Zealand Government,Green,2023-02-28,150000000,NZD,92765250,New Zealand,Sovereign,Climate Bonds aligned New Zealand sovereign issuance - New Zealand Government.
New Zealand Government,Green,2023-04-13,150000000,NZD,94562100,New Zealand,Sovereign,Climate Bonds aligned New Zealand sovereign issuance - New Zealand Government.
New Zealand Government,Green,2023-04-26,150000000,NZD,91798200,New Zealand,Sovereign,Climate Bonds aligned New Zealand sovereign issuance - New Zealand Government.
New Zealand Government,Green,2023-08-08,175000000,NZD,105984200,New Zealand,Sovereign,Climate Bonds aligned New Zealand sovereign issuance - New Zealand Government.
New Zealand Government,Green,2023-07-05,100000000,NZD,61762500,New Zealand,Sovereign,Climate Bonds aligned New Zealand sovereign issuance - New Zealand Government.
New Zealand Government,Green,2023-07-04,150000000,NZD,92960100,New Zealand,Sovereign,Climate Bonds aligned New Zealand sovereign issuance - New Zealand Government.
New Zealand Government,Green,2023-06-07,150000000,NZD,90623250,New Zealand,Sovereign,Climate Bonds aligned New Zealand sovereign issuance - New Zealand Government.
New Zealand Government,Green,2023-06-20,150000000,NZD,92490750,New Zealand,Sovereign,Climate Bonds aligned New Zealand sovereign issuance - New Zealand Government.
New Zealand Government,Green,2023-02-14,150000000,NZD,95014050,New Zealand,Sovereign,Climate Bonds aligned New Zealand sovereign issuance - New Zealand Government.
New Zealand Government,Green,2023-08-22,150000000,NZD,89103600,New Zealand,Sovereign,Climate Bonds aligned New Zealand sovereign issuance - New Zealand Government.
New Zealand Government,Green,2023-09-12,100000000,NZD,59093300,New Zealand,Sovereign,Climate Bonds aligned New Zealand sovereign issuance - New Zealand Government.
New Zealand Government,Green,2023-10-03,200000000,NZD,118258800,New Zealand,Sovereign,Climate Bonds aligned New Zealand sovereign issuance - New Zealand Government.
New Zealand Government,Green,2023-10-26,200000000,NZD,116433400,New Zealand,Sovereign,Climate Bonds aligned New Zealand sovereign issuance - New Zealand Government.
New Zealand Government,Green,2023-11-07,175000000,NZD,102949700,New Zealand,Sovereign,Climate Bonds aligned New Zealand sovereign issuance - New Zealand Government.
New Zealand Government,Green,2024-01-30,175000000,NZD,107297050,New Zealand,Sovereign,Climate Bonds aligned New Zealand sovereign issuance - New Zealand Government.
Kingdom of the Netherlands,Green,2020-06-23,1420000000,EUR,1607156000,Netherlands,Sovereign,Climate Bonds aligned Netherlands sovereign issuance - Kingdom of the Netherlands.
Kingdom of the Netherlands,Green,2020-01-17,1374000000,EUR,1526239200,Netherlands,Sovereign,Climate Bonds aligned Netherlands sovereign issuance - Kingdom of the Netherlands.
Kingdom of the Netherlands,Green,2019-05-23,5985004000,EUR,6662386752,Netherlands,Sovereign,Climate Bonds aligned Netherlands sovereign issuance - Kingdom of the Netherlands.
Kingdom of the Netherlands,Green,2023-10-19,4981953000,EUR,5257694135,Netherlands,Sovereign,Climate Bonds aligned Netherlands sovereign issuance - Kingdom of the Netherlands.
Kingdom of the Netherlands,Green,2024-02-29,2000000000,EUR,2160888000,Netherlands,Sovereign,Climate Bonds aligned Netherlands sovereign issuance - Kingdom of the Netherlands.
Kingdom of the Netherlands,Green,2024-03-05,154000000,EUR,167179628,Netherlands,Sovereign,Climate Bonds aligned Netherlands sovereign issuance - Kingdom of the Netherlands.
Kingdom of the Netherlands,Green,2022-06-14,5000000000,EUR,5226000000,Netherlands,Sovereign,Climate Bonds aligned Netherlands sovereign issuance - Kingdom of the Netherlands.
Kingdom of the Netherlands,Green,2021-02-23,1715000000,EUR,2082524500,Netherlands,Sovereign,Climate Bonds aligned Netherlands sovereign issuance - Kingdom of the Netherlands.
Kingdom of the Netherlands,Green,2020-06-26,214000000,EUR,239958200,Netherlands,Sovereign,Climate Bonds aligned Netherlands sovereign issuance - Kingdom of the Netherlands.
Federal Government of Nigeria,Green,2019-06-14,15000000000,NGN,41584650,Nigeria,Sovereign,Climate Bonds aligned Nigeria sovereign issuance - Federal Government of Nigeria.
Malaysia Government Investment Issue,Sustainability,2022-09-30,4500000000,MYR,970465255,Malaysia,Sovereign,Climate Bonds aligned Malaysia sovereign issuance - Malaysia Government Investment Issue.
Malaysia Government Investment Issue,Sustainability,2023-02-28,5500000000,MYR,1225620632,Malaysia,Sovereign,Climate Bonds aligned Malaysia sovereign issuance - Malaysia Government Investment Issue.
Mexico Government (United Mexican States),Sustainability,2022-12-02,250000000,MXN,13050478,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Mexico Government (United Mexican States),Sustainability,2024-03-12,11000000000,MXN,653748781,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Mexico Government (United Mexican States),Sustainability,2022-07-22,4770000000,MXN,231571098,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Mexico Government (United Mexican States),Sustainability,2022-09-08,4000000000,JPY,28836840,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Mexico Government (United Mexican States),Sustainability,2023-04-28,2030000000,MXN,112056406,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Mexico Government (United Mexican States),Sustainability,2023-10-27,6000000000,MXN,328136400,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Mexico Government (United Mexican States),Sustainability,2024-01-25,2000000000,EUR,2178600000,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Mexico Government (United Mexican States),Sustainability,2024-03-12,6000000000,MXN,356590244,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Mexico Government (United Mexican States),Sustainability,2022-07-22,10230000000,MXN,497357761,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Mexico Government (United Mexican States),Sustainability,2023-10-27,3750000000,MXN,205085250,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Mexico Government (United Mexican States),Sustainability,2023-04-28,2941390000,USD,2941390000,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Mexico Government (United Mexican States),Sustainability,2022-12-02,,MXN,370111556,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Mexico Government (United Mexican States),Sustainability,2022-05-04,5480000000,MXN,271005837,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Mexico Government (United Mexican States),Sustainability,2022-12-02,2660000000,MXN,138360432,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Mexico Government (United Mexican States),Sustainability,2023-04-28,9400000000,MXN,518881880,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Mexico Government (United Mexican States),Sustainability,2022-05-04,,MXN,712599492,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Mexico Government (United Mexican States),Sustainability,2022-09-08,14900000000,JPY,107417229,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
